71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.19,24.71,2.08,2.20,0.12,1
71.20,24.71,2.08,2.20,0.12,1
71.21,24.71,2.08,2.20,0.12,1
71.22,24.71,2.08,2.20,0.12,1
71.23,24.71,2.08,2.20,0.12,1
71.24,24.71,2.08,2.20,0.12,1
71.25,24.71,2.08,2.20,0.12,1
71.26,24.71,2.08,2.20,0.12,1
71.27,24.71,2.08,2.20,0.12,1
71.28,24.71,2.08,2.20,0.12,1
71.29,24.71,2.08,2.20,0.12,1
71.30,24.71,2.08,2.20,0.12,1
71.31,24.71,2.08,2.20,0.12,1
71.32,24.71,2.08,2.20,0.12,1
71.33,24.71,2.08,2.20,0.12,1
71.34,24.71,2.08,2.20,0.12,1
71.35,24.71,2.08,2.20,0.12,1
71.36,24.71,2.08,2.20,0.12,1
71.37,24.71,2.08,2.20,0.12,1
71.38,24.71,2.08,2.20,0.12,1
71.39,24.71,2.08,2.20,0.12,1
71.40,24.71,2.08,2.20,0.12,1
71.41,24.71,2.08,2.20,0.12,1
71.42,24.71,2.08,2.20,0.12,1
71.43,24.71,2.08,2.20,0.12,1
71.44,24.71,2.08,2.20,0.12,1
71.45,24.71,2.08,2.20,0.12,1
71.46,24.71,2.08,2.20,0.12,1
71.47,24.71,2.08,2.20,0.12,1
71.48,24.71,2.08,2.20,0.12,1
71.49,24.71,2.08,2.20,0.12,1
71.50,24.71,2.08,2.20,0.12,1
71.51,24.71,2.08,2.20,0.12,1
71.52,24.71,2.08,2.20,0.12,1
71.53,24.71,2.08,2.20,0.12,1
71.54,24.71,2.08,2.20,0.12,1
71.55,24.71,2.08,2.20,0.12,1
71.56,24.71,2.08,2.20,0.12,1
71.57,24.71,2.08,2.20,0.12,1
71.58,24.71,2.08,2.20,0.12,1
71.59,24.71,2.08,2.20,0.12,1
71.60,24.71,2.08,2.20,0.12,1
71.61,24.71,2.08,2.20,0.12,1
71.62,24.71,2.08,2.20,0.12,1
71.63,24.71,2.08,2.20,0.12,1
71.64,24.71,2.08,2.20,0.12,1
71.65,24.71,2.08,2.20,0.12,1
71.66,24.71,2.08,2.20,0.12,1
71.67,24.71,2.08,2.20,0.12,1
71.68,24.71,2.08,2.20,0.12,1
71.69,24.71,2.08,2.20,0.12,1
71.70,24.71,2.08,2.20,0.12,1
71.71,24.71,2.08,2.20,0.12,1
71.72,24.71,2.08,2.20,0.12,1
71.73,24.71,2.08,2.20,0.12,1
71.74,24.71,2.08,2.20,0.12,1
71.75,24.71,2.08,2.20,0.12,1
71.76,24.71,2.08,2.20,0.12,1
71.77,24.71,2.08,2.20,0.12,1
71.78,24.71,2.08,2.20,0.12,1
71.79,24.71,2.08,2.20,0.12,1
71.80,24.71,2.08,2.20,0.12,1
71.81,24.71,2.08,2.20,0.12,1
71.82,24.71,2.08,2.20,0.12,1
71.83,24.71,2.08,2.20,0.12,1
71.84,24.71,2.08,2.20,0.12,1
71.85,24.71,2.08,2.20,0.12,1
71.86,24.71,2.08,2.20,0.12,1
71.87,24.71,2.08,2.20,0.12,1
71.88,24.71,2.08,2.20,0.12,1
71.89,24.71,2.08,2.20,0.12,1
71.90,24.71,2.08,2.20,0.12,1
71.91,24.71,2.08,2.20,0.12,1
71.92,24.71,2.08,2.20,0.12,1
71.93,24.71,2.08,2.20,0.12,1
71.94,24.71,2.08,2.20,0.12,1
71.95,24.71,2.08,2.20,0.12,1
71.96,24.71,2.08,2.20,0.12,1
71.97,24.71,2.08,2.20,0.12,1
71.98,24.71,2.08,2.20,0.12,1
71.99,24.71,2.08,2.20,0.12,1
72.00,24.71,2.08,2.20,0.12,1
72.01,24.71,2.08,2.20,0.12,1
72.02,24.71,2.08,2.20,0.12,1
72.03,24.71,2.08,2.20,0.12,1
72.04,24.71,2.08,2.20,0.12,1
