Tiempo,Posicion,Velocidad,Step
0.016599178314208984,0.0,0.0,0.0
0.040833234786987305,0.0,0.0,0.0
0.05357003211975098,0.0,0.0,0.0
0.06731128692626953,0.0,0.0,0.0
0.07963156700134277,0.0,0.0,0.0
0.09311246871948242,0.0,0.0,0.0
0.1073298454284668,0.0,0.0,0.0
0.12113070487976074,0.0,0.0,0.0
0.13564682006835938,0.0,0.0,0.0
0.14874815940856934,0.0,0.0,0.0
0.16249608993530273,0.0,0.0,0.0
0.1757369041442871,0.0,0.0,0.0
0.18956279754638672,0.0,0.0,0.0
0.2030322551727295,0.0,0.0,0.0
0.2174854278564453,0.0,0.0,0.0
0.23308944702148438,0.0,0.0,0.0
0.24776721000671387,0.0,0.0,0.0
0.2624645233154297,0.0,0.0,0.0
0.2763843536376953,0.0,0.0,0.0
0.29300427436828613,0.0,0.0,0.0
0.3064861297607422,0.0,0.0,0.0
0.32190418243408203,0.0,0.0,0.0
0.33850932121276855,0.0,0.0,0.0
0.3547642230987549,0.0,0.0,0.0
0.3724334239959717,0.0,0.0,0.0
0.387134313583374,0.0,0.0,0.0
0.40177273750305176,0.0,0.0,0.0
0.41983699798583984,0.0,0.0,0.0
0.4382927417755127,0.0,0.0,0.0
0.45630693435668945,0.0,0.0,0.0
0.4756002426147461,0.0,0.0,0.0
0.4909040927886963,0.0,0.0,0.0
0.5056965351104736,0.0,0.0,0.0
0.5241289138793945,0.0,0.0,0.0
0.541318416595459,0.0,0.0,0.0
0.5578606128692627,0.0,0.0,0.0
0.5717678070068359,0.0,0.0,0.0
0.5849754810333252,0.0,0.0,0.0
0.6026885509490967,0.0,0.0,0.0
0.6186058521270752,0.0,0.0,0.0
0.6371252536773682,0.0,0.0,0.0
0.6541996002197266,0.0,0.0,0.0
0.6701595783233643,0.0,0.0,0.0
0.6849384307861328,0.0,0.0,0.0
0.6995668411254883,0.0,0.0,0.0
0.714094877243042,0.0,0.0,0.0
0.7285985946655273,0.0,0.0,0.0
0.7436959743499756,0.0,0.0,0.0
0.759138822555542,0.0,0.0,0.0
0.7738721370697021,0.0,0.0,0.0
0.7880594730377197,0.0,0.0,0.0
0.8049423694610596,0.0,0.0,0.0
0.8205397129058838,0.0,0.0,0.0
0.8372900485992432,0.0,0.0,0.0
0.8527889251708984,0.0,0.0,0.0
0.8677423000335693,0.0,0.0,0.0
0.8848559856414795,0.0,0.0,0.0
0.9001290798187256,0.0,0.0,0.0
0.9158539772033691,0.0,0.0,0.0
0.932762861251831,0.0,0.0,0.0
0.9468202590942383,0.0,0.0,0.0
0.9616472721099854,0.0,0.0,0.0
0.977407693862915,0.0,0.0,0.0
0.9922616481781006,0.0,0.0,0.0
1.007148027420044,0.0,0.0,0.0
1.0235564708709717,0.0,0.0,0.0
1.0388574600219727,0.0,0.0,0.0
1.0538311004638672,0.0,0.0,0.0
1.0675263404846191,0.0,0.0,0.0
1.0803492069244385,0.0,0.0,0.0
1.0936126708984375,0.0,0.0,0.0
1.1071906089782715,0.0,0.0,0.0
1.1220576763153076,0.0,0.0,0.0
1.1358067989349365,0.0,0.0,0.0
1.1490478515625,0.0,0.0,0.0
1.1628682613372803,0.0,0.0,0.0
1.1787834167480469,0.0,0.0,0.0
1.200493335723877,0.0,0.0,0.0
1.2149791717529297,0.0,0.0,0.0
1.2302653789520264,0.0,0.0,0.0
1.246980905532837,0.0,0.0,0.0
1.2762348651885986,0.0,0.0,0.0
1.3019130229949951,0.0,0.0,0.0
1.317673683166504,0.0,0.0,0.0
1.3324170112609863,0.0,0.0,0.0
1.3507299423217773,0.0,0.0,0.0
1.368833065032959,0.0,0.0,0.0
1.3898236751556396,0.0,0.0,0.0
1.4076604843139648,0.0,0.0,0.0
1.4299328327178955,0.0,0.0,0.0
1.451982021331787,0.0,0.0,0.0
1.471024990081787,0.0,0.0,0.0
1.4845538139343262,0.0,0.0,0.0
1.5005111694335938,0.0,0.0,0.0
1.5148980617523193,0.0,0.0,0.0
1.5288519859313965,0.0,0.0,0.0
1.5432047843933105,0.0,0.0,0.0
1.5583133697509766,0.0,0.0,0.0
1.5743050575256348,0.0,0.0,0.0
1.5883457660675049,0.0,0.0,0.0
1.603090524673462,0.0,0.0,0.0
1.61783766746521,0.0,0.0,0.0
